Table 1.2 Net overseas migration by country of birth, New South Wales, 2004-05 to 2024-25(a)(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SACC code(c),Country of birth(c),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25(d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4102,Egypt,420,480,670,780,500,380,350,380,790,500,390,500,570,550,490,410,180,320,550,440,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,Libya,0,0,20,20,50,200,140,10,-40,-50,0,20,10,20,10,10,0,0,-10,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4104,Morocco,10,40,20,20,20,30,30,20,50,50,40,60,40,40,20,60,10,10,50,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4105,Sudan,1 440,1 030,680,240,200,180,130,80,100,90,90,80,70,70,30,0,50,40,170,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4106,Tunisia,0,-10,10,0,0,-10,0,0,10,10,10,10,10,10,10,30,10,10,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4111,South Sudan,0,0,0,0,0,0,0,10,20,30,60,20,50,40,10,0,10,10,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4201,Bahrain,20,30,20,0,30,10,50,30,20,20,20,20,20,30,40,30,20,30,30,40,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202,Palestine,10,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,Iran,520,560,890,630,820,860,1 210,1 360,1 450,860,710,780,970,910,1 170,1 020,290,1 050,1 960,2 170,1 510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4204,Iraq,1 150,1 610,1 510,1 410,2 370,1 500,1 600,1 220,2 110,2 800,2 350,1 720,5 650,2 090,4 070,3 960,100,1 990,1 870,1 970,1 420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4205,Israel,170,160,140,170,50,70,40,70,50,70,100,130,110,40,10,130,70,-100,140,270,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4206,Jordan,140,90,170,170,160,90,90,130,210,130,160,230,250,250,160,180,70,120,220,170,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,Kuwait,20,60,60,60,100,120,130,140,100,90,100,90,130,120,70,80,50,110,110,200,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4208,Lebanon,960,940,1 480,1 040,570,520,530,850,900,900,950,710,860,880,900,1 180,610,1 080,960,1 250,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4211,Oman,20,10,10,20,10,20,20,40,10,30,60,70,50,20,10,-10,10,20,50,60,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4212,Qatar,20,10,10,20,10,10,0,20,0,20,40,50,70,80,80,70,20,50,110,130,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,Saudi Arabia,120,260,390,1 180,1 110,460,-290,-330,-50,50,40,-120,190,320,580,0,-460,200,500,540,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4214,Syria,120,150,130,130,200,110,200,230,270,640,1 870,1 030,4 200,1 740,1 050,430,100,530,1 020,1 080,1 070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4215,Türkiye,200,260,190,250,340,290,170,120,100,100,40,220,420,280,320,420,20,150,970,740,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4216,Unit Arab Emir,80,100,100,120,170,150,160,170,150,140,230,350,450,470,450,320,310,300,400,550,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4217,Yemen,20,0,0,10,10,0,0,10,10,10,10,20,30,50,60,10,20,30,60,90,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101,Myanmar,160,200,460,530,520,430,310,290,300,280,200,300,260,230,340,300,60,480,570,430,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5102,Cambodia,210,200,260,230,330,330,270,250,260,340,310,320,320,400,320,310,30,250,310,330,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
